Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37564730,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0062464345""","=""9780062464347""",3,4.18,Harper Perennial,Paperback,464,2018,2015,,2026/02/18,,,read,,,,1,0
1417965,"Anandamath, or The Sacred Brotherhood",Bankim Chandra Chattopadhyay,"Chattopadhyay, Bankim Chandra",,"=""0195178580""","=""9780195178586""",0,3.88,Oxford University Press,Paperback,336,2005,1882,,2026/02/18,to-read,to-read (#13),to-read,,,,0,0
142080,"Collected Poems, 1909-1962",T.S. Eliot,"Eliot, T.S.",,"=""0151189781""","=""9780151189786""",4,4.29,Ecco,Hardcover,221,1991,1963,,2026/02/18,,,read,,,,1,0
56446842,American Zombie Beauty,Philip Baruth,"Baruth, Philip",,"=""1939674069""","=""9781939674067""",4,4.50,Wolfson Press,Paperback,124,2015,,,2026/02/18,,,read,,,,1,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,"=""0143039989""","=""9780143039983""",0,3.81,Penguin Classics,Paperback,182,2006,1959,,2026/02/18,to-read,to-read (#12),to-read,,,,0,0
415,Gravity’s Rainbow,Thomas Pynchon,"Pynchon, Thomas",,"=""0143039946""","=""9780143039945""",0,4.02,Penguin Books,Paperback,776,2006,1973,,2026/02/18,to-read,to-read (#11),to-read,,,,0,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3,4.35,Scholastic Press,Hardcover,374,2008,2008,,2025/10/03,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",3,4.36,Scholastic Press,Hardcover,391,2009,2009,,2025/10/03,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2025/10/03,,,read,,,,1,0
58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043935806X""","=""9780439358064""",3,4.50,Scholastic Inc.,Hardcover,896,2003,2003,,2025/10/03,,,read,,,,1,0
36739755,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""0802128254""","=""9780802128256""",4,3.67,Grove Press,Hardcover,163,2018,2016,,2026/02/18,,,read,,,,1,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",5,4.18,W. W. Norton & Company,Paperback,224,2018,1996,,2026/02/18,,,read,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,4.10,Dial Press,Paperback,275,1999,1969,,2026/02/18,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",4,3.99,Vintage Books,Paperback,296,2000,1987,,2026/02/18,,,read,,,,1,0
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""""","=""""",3,3.72,Vintage,Paperback,288,1991,1930,,2026/02/18,,,read,,,,1,0
10979,Light in August,William Faulkner,"Faulkner, William","Joseph Blotner, Noel Polk","=""0679732268""","=""9780679732266""",4,3.94,Vintage,Paperback,507,1990,1932,,2026/02/18,,,read,,,,1,0
6482902,Anti-Oedipus: Capitalism and Schizophrenia,Gilles Deleuze,"Deleuze, Gilles","Félix Guattari, Robert Hurley, Mark Seem, Helen R. Lane, Michel Foucault","=""0143105825""","=""9780143105824""",3,4.18,Penguin Books Ltd,Paperback,432,2009,1972,,2025/12/06,,,read,,,,1,0
59109077,Horse,Geraldine Brooks,"Brooks, Geraldine",,"=""0399562966""","=""9780399562969""",5,4.24,Viking,Hardcover,401,2022,2022,,2026/02/18,,,read,,,,1,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",0,4.52,The New Press Inc.,Hardcover,290,2010,2010,,2025/12/06,to-read,to-read (#10),to-read,,,,0,0
14728662,The Blind Owl,Sadegh Hedayat,"Hedayat, Sadegh",Naveed Noori,"=""9186131443""","=""9789186131449""",3,3.95,L'Aleph,Paperback,108,2011,1937,,2025/12/06,,,read,,,,1,0
224135920,The Heart of a Dog,Michail Bulgakov,"Bulgakov, Michail",,"=""""","=""9798307966716""",5,5.00,Independently published,Paperback,88,2025,,,2025/12/06,,,read,,,,1,0
424,Slouching Towards Bethlehem,Joan Didion,"Didion, Joan",,"=""""","=""""",4,4.18,Farrar Straus Giroux,Paperback,238,2008,1968,,2025/12/06,,,read,,,,1,0
